amount,drivetrain,payment_year,disadvantaged,publicorprivate,grossvehicleweight,manufacturer,vocationaluse,infrastructure,county,assemblydistrict,senatedistrict,air_district,censustract,fleetzipcode
45000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2010,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
40000,HV,2011,Yes,Public,"33,001 and up",New Flyer of America,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90247
10592.04,HV,2013,No,Public,"26,001 - 33,000",Navistar,Bus - Heavy Duty/Transit,No,Mendocino County,Assembly District 02,Senate District 02,Mendocino County AQMD,Tract 06045011700,ZIP Code 95482
21184.08,HV,2013,No,Public,"26,001 - 33,000",Navistar,Bus - Heavy Duty/Transit,No,Mendocino County,Assembly District 02,Senate District 02,Mendocino County AQMD,Tract 06045011700,ZIP Code 95482
105000,ZEV-BEV,2014,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2014,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2014,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2014,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
55000,ZEV-BEV,2015,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 36,Senate District 21,Antelope Valley AQMD,Tract 06037900704,ZIP Code 93534
55000,ZEV-BEV,2015,No,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 36,Senate District 21,Antelope Valley AQMD,Tract 06037900704,ZIP Code 93534
105000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
105000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2015,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
120000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
120000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
120000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
110000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
110000,ZEV-BEV,2015,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 53,Senate District 30,South Coast AQMD,Tract 06037206300,ZIP Code 90021
120000,ZEV-BEV,2016,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 62,Senate District 35,South Coast AQMD,Tract 06037602900,ZIP Code 90249
126000,ZEV-BEV,2016,Yes,Public,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 70,Senate District 33,South Coast AQMD,Tract 06037575202,ZIP Code 90813
140000,ZEV-BEV,2016,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
140000,ZEV-BEV,2016,Yes,Public,"33,001 and up",Proterra,Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 52,Senate District 20,South Coast AQMD,Tract 06037402801,ZIP Code 91766
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
101000,ZEV-BEV,2017,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 54,Senate District 26,South Coast AQMD,Tract 06037265301,ZIP Code 90095
101000,ZEV-BEV,2017,No,Private,"33,001 and up","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Los Angeles County,Assembly District 54,Senate District 26,South Coast AQMD,Tract 06037265301,ZIP Code 90095
95000,ZEV-BEV,2017,No,Private,"26,001 - 33,000","BYD Motors, Inc.",Bus - Heavy Duty/Transit,No,Santa Clara County,Assembly District 24,Senate District 13,Bay Area AQMD,Tract 06085511705,ZIP Code 94304
